No,kabupaten,penerimaan,pemakaian
1,CILACAP,2955722,2938892
2,banyumas,2849220,2839950
3,purbalingga,1584522,1584590
4,banjarnegara,1522292,1516886
5,kebumen,1920701,1927671
6,purworejo,1199512,1202736
7,wonosobo,1321046,1320686
8,magelang,1866754,1901065
9,boyolali,1705572,1725448
10,klaten,2089689,2081793
11,sukoharjo,1461514,1459066
12,wonogiri,1659792,1655184
13,karanganyar,1462424,1461085
14,sragen,1534468,1531570
15,grobogan,2176420,2175064
16,blora,1471550,1458314
17,rembang,962922,959294
18,pati,1922214,1924584
19,kudus,1300902,1302926
20,jepara,1785450,1777026
21,demak,1743460,1737532
22,semarang,1644209,1638127
23,temanggung,1267448,1292966
24,kendal,1583548,1580111
25,batang,1064122,1057866
26,pekalongan,1411332,1435714
27,pemalang,1969598,1980769
28,tegal,2110368,2102680
29,brebes,2786380,2867118
30,magelang,343796,348054
31,surakarta,1366588,1373715
32,salatiga,452750,452222
33,semarang,4190688,4185683
34,pekalongan,555408,550586
35, tegal,612288,611850
